Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL1911679,,0,404.55,0,3.43,"7, Genz-112638",CCCCCCCC(=O)N[C@@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,IC50,'=',2.0,nM,8.7,,,UO_0000065,21.5,0.41,5.27,12.25,True,CHEMBL1912403,Inhibition of GCS activity in human A549 cells assessed as amount of GM1 on the cell membrane after 72 hrs by FL-CTB-based fluorescent microscopy,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,CHEMBL3307651
CHEMBL58383,,0,480.65,1,1.4,5c,CCCCCCCCCC(=O)N[C@H](CNC1CC(CO)C(O)C(O)C1O)[C@@H](O)c1ccccc1,IC50,,,,,,No inhibition,,,,,,False,CHEMBL682321,Compound tested for inhibitory activity against glucosylceramide synthase enzyme at a concentration of 1.0*10e-4M; no inhibitory activity,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1152055,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997,
CHEMBL1766474,,0,398.5,1,-0.69,1[8],O[C@H]1[C@H](NCc2cn(CCCCC3CCCCC3)nn2)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Inhibition,'=',8.0,%,,,,UO_0000187,,,,,False,CHEMBL1769095,Inhibition of glucosylceramide synthase in human A549 cells at 250 uM after 35 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1764970,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3307651
CHEMBL1766470,,0,454.53,1,-0.22,1[4],O[C@H]1[C@H](NCc2cn(CCC(c3ccccc3)c3ccccc3)nn2)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Inhibition,'=',18.0,%,,,,UO_0000187,,,,,False,CHEMBL1769095,Inhibition of glucosylceramide synthase in human A549 cells at 250 uM after 35 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1764970,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3307651
CHEMBL3350142,,0,478.63,1,1.32,4c,CCCCCCCCCC(=O)N[C@H](CN[C@@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@@H](O)c1ccccc1,IC50,,,,,,No inhibition,,,,,,False,CHEMBL682321,Compound tested for inhibitory activity against glucosylceramide synthase enzyme at a concentration of 1.0*10e-4M; no inhibitory activity,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1152055,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997,
CHEMBL1029,MIGLUSTAT,4,219.28,0,-1.45,5,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,IC50,'=',50000.0,nM,4.3,,,UO_0000065,19.61,0.39,5.75,5.11,False,CHEMBL1099879,Inhibition of GCS by cell-based assay,B,BAO_0000219,cell-based format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1154826,1,Scientific Literature,J. Med. Chem.,2010,
CHEMBL34778,,0,516.77,2,6.55,Text compound,CCCCCCCCCCCCCCCC(=O)NC(CN1CCCC1)C(O)c1ccc2c(c1)OCCO2,IC50,'=',90.0,nM,7.05,,,UO_0000065,13.63,0.26,0.5,9.92,False,CHEMBL682319,Inhibitory concentration against glucosylceramide synthase in MDCK cell line,B,BAO_0000219,cell-based format,Canis lupus familiaris,,,MDCK,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1147630,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2004,CHEMBL3308370
CHEMBL1911827,,0,577.0,1,4.68,23c,CN[C@@H]1CCN(C(=O)[C@@H](COCc2ccccc2)NC(=O)c2cccnc2Oc2ccc(C(F)(F)F)cc2Cl)C1,IC50,'=',16.0,nM,7.8,,,UO_0000065,13.51,0.27,3.12,8.4,False,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL574645,,0,397.56,0,1.15,"2, AMP-DNM",OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,IC50,'=',150.0,nM,6.82,,,UO_0000065,17.16,0.33,5.67,7.31,False,CHEMBL1099879,Inhibition of GCS by cell-based assay,B,BAO_0000219,cell-based format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1154826,1,Scientific Literature,J. Med. Chem.,2010,
CHEMBL1086996,,0,397.56,0,1.15,"4, L-ido-AMP-DNM",OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,IC50,'=',150.0,nM,6.82,,,UO_0000065,17.16,0.33,5.67,7.31,False,CHEMBL1099879,Inhibition of GCS by cell-based assay,B,BAO_0000219,cell-based format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1154826,1,Scientific Literature,J. Med. Chem.,2010,
