Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL1170756,,0,361.15,1.0,5.69,1b,Cn1c(C(F)(F)F)nc2cc(Oc3cccc(Cl)c3Cl)ccc21,IC50,'=',30.0,nM,7.52,,,UO_0000065,,,,,False,CHEMBL1174784,Antiprotozoal activity against Giardia intestinalis IMSS:0989:1 after 48 hrs,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1177885,1,Scientific Literature,Eur. J. Med. Chem.,2010,
CHEMBL242341,FORMONONETIN,2,268.27,0.0,3.17,1,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,IC50,'<',1.0,ug.mL-1,,,,UO_0000274,,,,,False,CHEMBL971838,Antifungal activity against Giardia intestinalis ATCC 30888 assessed as impairment of parasite motility after 2 hrs,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1155607,1,Scientific Literature,J. Nat. Prod.,2000,
CHEMBL583912,(-)-EPICATECHIN,2,290.27,0.0,1.55,(-)-epicatechin,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,IC50,'=',1.0,ug.mL-1,,,,UO_0000274,,,,,False,CHEMBL971846,Antifungal activity against Giardia intestinalis,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1155607,1,Scientific Literature,J. Nat. Prod.,2000,
CHEMBL557158,,0,392.89,0.0,3.31,2,Cl.c1cc(-c2ccc(-c3ccc(C4=NCCN4)cc3)o2)ccc1C1=NCCN1,IC50,'=',1950.0,nM,5.71,,,UO_0000065,,,,,False,CHEMBL681985,Inhibitory activity for 50% on growth of Giardia lamblia in cell culture,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1128267,1,Scientific Literature,J. Med. Chem.,1995,
CHEMBL1483,ALBENDAZOLE,4,265.34,0.0,3.24,albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,IC50,'=',0.019,ug.mL-1,,,,UO_0000274,,,,,False,CHEMBL993649,Antimicrobial activity against Giardia duodenalis WB,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1155772,1,Scientific Literature,Antimicrob. Agents Chemother.,2007,
CHEMBL331309,DEOXYARTEMISININ,0,266.34,0.0,2.46,deoxyartemisinin,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32O4,IC50,'=',91.0,ug.mL-1,,Outside typical range,,UO_0000274,,,,,False,CHEMBL993649,Antimicrobial activity against Giardia duodenalis WB,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1155772,1,Scientific Literature,Antimicrob. Agents Chemother.,2007,
CHEMBL522244,,0,233.23,0.0,1.23,28,Cn1ccnc1/C=C/c1ncc([N+](=O)[O-])n1C,EC50,'=',51.29,nM,7.29,,,UO_0000065,,,,,False,CHEMBL1004983,Antigiardial activity against metronidazole-resistant Giardia lamblia isolate 713 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL137,METRONIDAZOLE,4,171.16,0.0,0.09,Mz,Cc1ncc([N+](=O)[O-])n1CCO,EC50,'=',44668.36,nM,4.35,,,UO_0000065,,,,,False,CHEMBL1004992,Antigiardial activity against metronidazole-sensitive Giardia lamblia isolate 713 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL72355,,0,164.23,0.0,2.28,5,CSc1nc2ccccc2[nH]1,IC50,'=',45.0,nM,7.35,,,UO_0000065,,,,,False,CHEMBL682614,"The compound was tested in vitro against the protozoa Giardia lamblia, for the inhibition of tubulin polymerization in rat brain",F,BAO_0000218,organism-based format,Giardia intestinalis,CHEMBL3638188,Brain,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1134873,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,
CHEMBL524078,,0,361.35,0.0,2.55,36,CC(=O)OC(c1ccc(C)cc1)C(OC(C)=O)c1ncc([N+](=O)[O-])n1C,Ratio EC50,'=',6.0,,,,,,,,,,False,CHEMBL1004984,Resistance ratio of EC50 for metronidazole-resistant Giardia lamblia isolate 106 to EC50 for metronidazole-sensitive Giardia lamblia isolate 106,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
